SID,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TOKYO_LAT,TOKYO_LON,TOKYO_WIND,TOKYO_PRES,USA_LAT,USA_LON,USA_WIND,USA_PRES
2022254N24143,NANMADOL,2022-09-11 06:00:00,DS,23.7,142.7,,,,,,,,23.7,142.7,15.0,1010.0
2022254N24143,NANMADOL,2022-09-11 09:00:00,DS,23.6,141.8,,,,,,,,23.6,141.8,15.0,1010.0
2022254N24143,NANMADOL,2022-09-11 12:00:00,DS,23.5,141.0,,,,,,,,23.5,141.0,15.0,1010.0
2022254N24143,NANMADOL,2022-09-11 15:00:00,DS,23.5,140.3,,,,,,,,23.5,140.3,18.0,1005.0
2022254N24143,NANMADOL,2022-09-11 18:00:00,DS,23.4,139.8,,,,,,,,23.4,139.8,20.0,1000.0
2022254N24143,NANMADOL,2022-09-11 21:00:00,DS,22.8,139.3,,,,,,,,22.8,139.3,20.0,1000.0
2022254N24143,NANMADOL,2022-09-12 00:00:00,DS,22.1,138.9,,,,,,,,22.1,138.9,20.0,1000.0
2022254N24143,NANMADOL,2022-09-12 03:00:00,DS,21.9,138.5,,,,,,,,21.9,138.5,20.0,1000.0
2022254N24143,NANMADOL,2022-09-12 06:00:00,DS,21.8,138.2,,,,,,,,21.8,138.2,20.0,1000.0
2022254N24143,NANMADOL,2022-09-12 09:00:00,DS,21.7,138.0,,,,,,,,21.7,138.0,23.0,1000.0
2022254N24143,NANMADOL,2022-09-12 12:00:00,MX,21.7,138.1,,1000.0,tokyo,22.3,138.7,,1000.0,21.6,138.0,25.0,1000.0
2022254N24143,NANMADOL,2022-09-12 15:00:00,MX,21.8,138.2,,,,22.4,138.4,,999.0,21.5,138.0,25.0,1000.0
2022254N24143,NANMADOL,2022-09-12 18:00:00,TS,22.0,138.2,,998.0,tokyo,22.4,138.2,,998.0,21.5,138.2,25.0,1000.0
2022254N24143,NANMADOL,2022-09-12 21:00:00,TS,22.0,138.3,,,,22.2,138.2,,998.0,21.6,138.5,28.0,999.0
2022254N24143,NANMADOL,2022-09-13 00:00:00,TS,21.9,138.5,,998.0,tokyo,22.0,138.3,,998.0,21.8,138.8,30.0,997.0
2022254N24143,NANMADOL,2022-09-13 03:00:00,TS,21.9,138.7,,,,22.0,138.6,,998.0,21.9,139.1,30.0,998.0
2022254N24143,NANMADOL,2022-09-13 06:00:00,TS,22.0,139.0,,998.0,tokyo,22.0,138.9,,998.0,22.0,139.3,30.0,998.0
2022254N24143,NANMADOL,2022-09-13 09:00:00,TS,22.1,139.3,,,,22.1,139.3,,998.0,22.1,139.5,33.0,997.0
2022254N24143,NANMADOL,2022-09-13 12:00:00,TS,22.2,139.6,,998.0,tokyo,22.2,139.6,,998.0,22.2,139.7,35.0,996.0
2022254N24143,NANMADOL,2022-09-13 15:00:00,TS,22.3,139.9,,,,22.3,139.9,,997.0,22.3,139.8,35.0,996.0
2022254N24143,NANMADOL,2022-09-13 18:00:00,TS,22.4,140.1,35.0,996.0,tokyo,22.4,140.1,35.0,996.0,22.4,140.0,35.0,995.0
2022254N24143,NANMADOL,2022-09-13 21:00:00,TS,22.4,140.4,,,,22.4,140.4,35.0,996.0,22.5,140.3,38.0,996.0
2022254N24143,NANMADOL,2022-09-14 00:00:00,TS,22.5,140.6,35.0,996.0,tokyo,22.5,140.6,35.0,996.0,22.6,140.5,40.0,996.0
2022254N24143,NANMADOL,2022-09-14 03:00:00,TS,22.7,140.7,,,,22.7,140.8,35.0,996.0,22.7,140.6,40.0,995.0
2022254N24143,NANMADOL,2022-09-14 06:00:00,TS,22.8,140.7,35.0,996.0,tokyo,22.8,140.8,35.0,996.0,22.8,140.6,40.0,993.0
2022254N24143,NANMADOL,2022-09-14 09:00:00,TS,22.9,140.5,,,,22.8,140.6,38.0,995.0,22.9,140.4,40.0,992.0
2022254N24143,NANMADOL,2022-09-14 12:00:00,TS,22.9,140.3,40.0,994.0,tokyo,22.8,140.3,40.0,994.0,22.9,140.2,40.0,991.0
2022254N24143,NANMADOL,2022-09-14 15:00:00,TS,23.0,140.0,,,,22.9,140.0,43.0,992.0,23.0,140.0,45.0,990.0
2022254N24143,NANMADOL,2022-09-14 18:00:00,TS,23.1,139.7,45.0,990.0,tokyo,23.1,139.7,45.0,990.0,23.1,139.7,50.0,989.0
2022254N24143,NANMADOL,2022-09-14 21:00:00,TS,23.1,139.3,,,,23.2,139.2,48.0,988.0,23.1,139.3,50.0,987.0
2022254N24143,NANMADOL,2022-09-15 00:00:00,TS,23.2,138.9,50.0,985.0,tokyo,23.2,138.7,50.0,985.0,23.1,138.9,50.0,984.0
2022254N24143,NANMADOL,2022-09-15 03:00:00,TS,23.3,138.4,,,,23.2,138.3,53.0,983.0,23.2,138.4,55.0,980.0
2022254N24143,NANMADOL,2022-09-15 06:00:00,TS,23.3,137.9,55.0,980.0,tokyo,23.3,137.9,55.0,980.0,23.3,138.0,60.0,975.0
2022254N24143,NANMADOL,2022-09-15 09:00:00,TS,23.4,137.6,,,,23.4,137.6,60.0,975.0,23.4,137.7,68.0,972.0
2022254N24143,NANMADOL,2022-09-15 12:00:00,TS,23.4,137.3,65.0,970.0,tokyo,23.4,137.3,65.0,970.0,23.5,137.3,75.0,969.0
2022254N24143,NANMADOL,2022-09-15 15:00:00,TS,23.4,136.8,,,,23.4,136.8,70.0,965.0,23.4,136.8,83.0,965.0
2022254N24143,NANMADOL,2022-09-15 18:00:00,TS,23.4,136.4,75.0,960.0,tokyo,23.4,136.4,75.0,960.0,23.4,136.3,90.0,960.0
2022254N24143,NANMADOL,2022-09-15 21:00:00,TS,23.5,136.1,,,,23.6,136.1,80.0,953.0,23.5,136.1,100.0,955.0
2022254N24143,NANMADOL,2022-09-16 00:00:00,TS,23.7,135.9,85.0,945.0,tokyo,23.8,135.9,85.0,945.0,23.7,135.9,110.0,950.0
2022254N24143,NANMADOL,2022-09-16 03:00:00,TS,23.9,135.7,,,,24.0,135.7,88.0,940.0,23.9,135.7,113.0,940.0
2022254N24143,NANMADOL,2022-09-16 06:00:00,TS,24.2,135.5,90.0,935.0,tokyo,24.2,135.5,90.0,935.0,24.2,135.4,115.0,929.0
2022254N24143,NANMADOL,2022-09-16 09:00:00,TS,24.5,135.1,,,,24.5,135.1,93.0,930.0,24.5,135.1,123.0,925.0
2022254N24143,NANMADOL,2022-09-16 12:00:00,TS,24.8,134.7,95.0,925.0,tokyo,24.9,134.7,95.0,925.0,24.8,134.7,130.0,920.0
2022254N24143,NANMADOL,2022-09-16 15:00:00,TS,25.2,134.2,100.0,920.0,tokyo,25.2,134.2,100.0,920.0,25.2,134.3,133.0,918.0
2022254N24143,NANMADOL,2022-09-16 18:00:00,TS,25.5,133.8,105.0,910.0,tokyo,25.5,133.8,105.0,910.0,25.5,133.8,135.0,916.0
2022254N24143,NANMADOL,2022-09-16 21:00:00,TS,25.7,133.4,105.0,910.0,tokyo,25.7,133.4,105.0,910.0,25.7,133.4,133.0,917.0
2022254N24143,NANMADOL,2022-09-17 00:00:00,TS,26.0,133.1,105.0,910.0,tokyo,26.1,133.1,105.0,910.0,26.0,133.1,130.0,917.0
2022254N24143,NANMADOL,2022-09-17 03:00:00,TS,26.4,132.8,105.0,910.0,tokyo,26.5,132.8,105.0,910.0,26.4,132.8,130.0,918.0
2022254N24143,NANMADOL,2022-09-17 06:00:00,TS,26.7,132.5,105.0,910.0,tokyo,26.8,132.5,105.0,910.0,26.8,132.5,130.0,919.0
2022254N24143,NANMADOL,2022-09-17 09:00:00,TS,27.1,132.3,105.0,910.0,tokyo,27.1,132.3,105.0,910.0,27.2,132.2,128.0,921.0
2022254N24143,NANMADOL,2022-09-17 12:00:00,TS,27.5,132.0,105.0,910.0,tokyo,27.5,132.0,105.0,910.0,27.6,132.0,125.0,923.0
2022254N24143,NANMADOL,2022-09-17 15:00:00,TS,28.0,131.7,100.0,915.0,tokyo,28.0,131.7,100.0,915.0,28.1,131.7,120.0,927.0
2022254N24143,NANMADOL,2022-09-17 18:00:00,TS,28.5,131.4,95.0,920.0,tokyo,28.5,131.4,95.0,920.0,28.6,131.4,115.0,930.0
2022254N24143,NANMADOL,2022-09-17 21:00:00,TS,29.1,131.3,95.0,925.0,tokyo,29.1,131.4,95.0,925.0,29.1,131.2,108.0,935.0
2022254N24143,NANMADOL,2022-09-18 00:00:00,TS,29.7,131.0,90.0,930.0,tokyo,29.7,131.0,90.0,930.0,29.7,131.0,100.0,939.0
2022254N24143,NANMADOL,2022-09-18 03:00:00,TS,30.2,130.7,90.0,930.0,tokyo,30.2,130.7,90.0,930.0,30.3,130.7,100.0,941.0
2022254N24143,NANMADOL,2022-09-18 04:00:00,TS,30.4,130.7,90.0,930.0,tokyo,30.3,130.6,90.0,930.0,30.5,130.6,97.0,944.0
2022254N24143,NANMADOL,2022-09-18 06:00:00,TS,30.7,130.7,90.0,930.0,tokyo,30.7,130.7,90.0,930.0,30.8,130.6,90.0,951.0
2022254N24143,NANMADOL,2022-09-18 08:00:00,TS,31.1,130.6,85.0,940.0,tokyo,31.1,130.6,85.0,940.0,31.1,130.6,87.0,953.0
2022254N24143,NANMADOL,2022-09-18 09:00:00,TS,31.3,130.6,85.0,940.0,tokyo,31.3,130.6,85.0,940.0,31.3,130.6,85.0,955.0
2022254N24143,NANMADOL,2022-09-18 10:00:00,TS,31.5,130.6,85.0,940.0,tokyo,31.5,130.5,85.0,940.0,31.5,130.6,83.0,956.0
2022254N24143,NANMADOL,2022-09-18 12:00:00,TS,31.9,130.5,75.0,955.0,tokyo,31.9,130.5,75.0,955.0,31.9,130.6,80.0,958.0
2022254N24143,NANMADOL,2022-09-18 15:00:00,TS,32.6,130.4,70.0,960.0,tokyo,32.7,130.4,70.0,960.0,32.6,130.4,75.0,962.0
2022254N24143,NANMADOL,2022-09-18 18:00:00,TS,33.2,130.4,70.0,965.0,tokyo,33.2,130.4,70.0,965.0,33.2,130.3,70.0,965.0
2022254N24143,NANMADOL,2022-09-18 21:00:00,TS,33.6,130.6,65.0,970.0,tokyo,33.6,130.6,65.0,970.0,33.7,130.6,65.0,970.0
2022254N24143,NANMADOL,2022-09-19 00:00:00,TS,34.0,130.9,60.0,975.0,tokyo,33.9,130.8,60.0,975.0,34.1,131.1,60.0,975.0
2022254N24143,NANMADOL,2022-09-19 03:00:00,TS,34.5,131.5,60.0,975.0,tokyo,34.4,131.6,60.0,975.0,34.6,131.7,55.0,973.0
2022254N24143,NANMADOL,2022-09-19 06:00:00,TS,35.2,132.3,60.0,975.0,tokyo,35.3,132.4,60.0,975.0,35.1,132.5,50.0,971.0
2022254N24143,NANMADOL,2022-09-19 09:00:00,TS,35.9,133.2,55.0,980.0,tokyo,36.0,133.0,55.0,980.0,35.6,133.3,50.0,971.0
2022254N24143,NANMADOL,2022-09-19 12:00:00,TS,36.5,134.4,55.0,980.0,tokyo,36.6,134.4,55.0,980.0,36.1,134.3,50.0,971.0
