case_id,model,target,init_time,role,target_var,lead_h,elapsed_s,spearman_r_precip_zwd,top1pct_overlap,com_displacement_km,target_box_mass_precip,target_box_mass_zwd
ticino_2020-10-03T00:00:00,precip_large_zwd,ticino,2020-10-03T00:00:00,strong,q850,6,7.832113331998698,0.750037172281966,0.5608745906376421,695.1335346618262,0.06716509908437729,0.049818553030490875
alps_east_2020-06-29T06:00:00,precip_large_zwd,alps_east,2020-06-29T06:00:00,strong,q850,6,7.608817624015501,0.7940910141677983,0.5288961664419187,203.9715865873246,0.03728857636451721,0.04089466482400894
andes_2020-03-25T12:00:00,precip_large_zwd,andes,2020-03-25T12:00:00,strong,q850,6,6.158050169004127,0.7768070410382087,0.5044307455210942,83.52947284857397,0.14177151024341583,0.11843641102313995
aquitaine_basin_2020-10-02T06:00:00,precip_large_zwd,aquitaine_basin,2020-10-02T06:00:00,strong,q850,6,6.134651510976255,0.7798727472227034,0.512906954344057,634.6253697212869,0.046698298305273056,0.061178792268037796
atlas_2020-03-19T18:00:00,precip_large_zwd,atlas,2020-03-19T18:00:00,strong,q850,6,6.126217086013639,0.7470213911802485,0.5442111346561356,291.37991026126434,0.15830862522125244,0.1506517231464386
california_2020-12-13T18:00:00,precip_large_zwd,california,2020-12-13T18:00:00,strong,q850,6,6.133789708983386,0.7673430394734357,0.5400693507994606,81.82427548842634,0.06287790834903717,0.06756989657878876
canterbury_plain_2020-02-22T06:00:00,precip_large_zwd,canterbury_plain,2020-02-22T06:00:00,strong,q850,6,6.129475233989069,0.787864027238568,0.5348680408399152,52.07456877173372,0.05384400114417076,0.06051887199282646
cascades_sierra_2020-11-13T18:00:00,precip_large_zwd,cascades_sierra,2020-11-13T18:00:00,strong,q850,6,6.116588674980449,0.7942263036020781,0.524561741475631,101.68403428331965,0.11181051284074783,0.09103966504335403
caspian_lowland_2020-09-19T06:00:00,precip_large_zwd,caspian_lowland,2020-09-19T06:00:00,strong,q850,6,6.11448863602709,0.7857492617053661,0.5118474282411867,53.957525570368325,0.05736936628818512,0.06260892748832703
caucasus_2020-08-22T12:00:00,precip_large_zwd,caucasus,2020-08-22T12:00:00,strong,q850,6,6.120762400998501,0.7441704160052796,0.5558659217877095,366.66296355528647,0.13638360798358917,0.13998332619667053
ganges_plain_2020-07-19T12:00:00,precip_large_zwd,ganges_plain,2020-07-19T12:00:00,strong,q850,6,6.1445898819947615,0.7074216345238882,0.4859371989982662,156.83129536784472,0.075119748711586,0.0978296548128128
great_plains_2020-06-27T12:00:00,precip_large_zwd,great_plains,2020-06-27T12:00:00,strong,q850,6,6.143476900004316,0.80286125589026,0.45453669813138126,99.35966582652343,0.03906137868762016,0.06483951210975647
himalayas_2020-09-23T06:00:00,precip_large_zwd,himalayas,2020-09-23T06:00:00,strong,q850,6,6.104382858989993,0.7429928674115049,0.4506838759391254,379.8505787563041,0.12766236066818237,0.08760342001914978
japan_2020-10-10T00:00:00,precip_large_zwd,japan,2020-10-10T00:00:00,strong,q850,6,6.130330253014108,0.7165417719714517,0.5986322481217492,106.99925476293146,0.08355299383401871,0.08481306582689285
netherlands_2020-12-27T12:00:00,precip_large_zwd,netherlands,2020-12-27T12:00:00,strong,q850,6,6.112045512010809,0.7964851391612163,0.5802350221537276,748.7064215657477,0.04521360993385315,0.04887799173593521
new_zealand_alps_2020-12-23T00:00:00,precip_large_zwd,new_zealand_alps,2020-12-23T00:00:00,strong,q850,6,6.152143751998665,0.7779921338941684,0.5601040261991909,29.11126019997131,0.11461803317070007,0.10281732678413391
pacific_nw_coast_2020-10-10T12:00:00,precip_large_zwd,pacific_nw_coast,2020-10-10T12:00:00,strong,q850,6,6.135053135018097,0.7577093559980203,0.5342901175110769,20.336744327090432,0.06484895199537277,0.08487040549516678
pampas_2020-01-15T12:00:00,precip_large_zwd,pampas,2020-01-15T12:00:00,strong,q850,6,6.198401817004196,0.7807263533996632,0.5045270660759006,60.39386596596086,0.07633000612258911,0.10703451186418533
pyrenees_2020-03-02T06:00:00,precip_large_zwd,pyrenees,2020-03-02T06:00:00,strong,q850,6,6.11212418100331,0.78614522143377,0.5280292814486611,979.4400420289677,0.04332936927676201,0.04676719382405281
rockies_2020-07-27T00:00:00,precip_large_zwd,rockies,2020-07-27T00:00:00,strong,q850,6,6.113321588985855,0.7611514058265051,0.5010595261028703,71.07316143528246,0.08823161572217941,0.1003832295536995
sahara_plain_2020-09-01T06:00:00,precip_large_zwd,sahara_plain,2020-09-01T06:00:00,strong,q850,6,6.1280686980171595,0.7581357811441456,0.5186861876324408,646.1103948341424,0.08737356215715408,0.11126268655061722
valais_2020-10-03T00:00:00,precip_large_zwd,valais,2020-10-03T00:00:00,strong,q850,6,6.124932845996227,0.7458558473257715,0.5519167790406473,667.9826905240714,0.059861574321985245,0.05745154246687889
