contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_q,6,dec_s0_pre_skip,14,0.15273480449426555,0.15013976911742474,0.13838645226567534
actual_vs_uniform_q,6,dec_s1_post_skip,14,0.3197545841343202,0.35710157708244095,0.2684730548571623
actual_vs_uniform_q,6,dec_s1_pre_skip,14,0.15661469024189922,0.16501279843732464,0.1404123801721389
actual_vs_uniform_q,6,dec_s2_post_concat,14,0.4806951158976359,0.5126761901707294,0.40318814080738147
actual_vs_uniform_q,6,dec_s2_pre_concat,14,0.3197545841343202,0.35710157708244095,0.2684730548571623
actual_vs_uniform_q,6,enc_s0_skip,14,0.29816219143041645,0.3084223269143739,0.2528521127796935
actual_vs_uniform_q,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,6,enc_s2_bottleneck,14,0.15273480449426555,0.15013976911742474,0.13838645226567534
actual_vs_uniform_q,12,dec_s0_pre_skip,14,0.12036422121229647,0.11739274416517034,0.24737958454166156
actual_vs_uniform_q,12,dec_s1_post_skip,14,0.35161302145479617,0.37851352475290795,0.31068586836209394
actual_vs_uniform_q,12,dec_s1_pre_skip,14,0.16683511576056564,0.1858738723938399,0.22453849498777662
actual_vs_uniform_q,12,dec_s2_post_concat,14,0.4767024461539691,0.5222449491606942,0.40714175291873905
actual_vs_uniform_q,12,dec_s2_pre_concat,14,0.35161302145479617,0.37851352475290795,0.31068586836209394
actual_vs_uniform_q,12,enc_s0_skip,14,0.31956582054054383,0.31997679205736024,0.2842307497808681
actual_vs_uniform_q,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,12,enc_s2_bottleneck,14,0.12036422121229647,0.11739274416517034,0.24737958454166156
actual_vs_uniform_q,24,dec_s0_pre_skip,14,-0.024934658761549953,0.04602574821785897,0.30443431821897876
actual_vs_uniform_q,24,dec_s1_post_skip,14,0.16377441641102192,0.2441311238456194,0.3674200030209035
actual_vs_uniform_q,24,dec_s1_pre_skip,14,-0.044984747545880124,0.018055750648820014,0.32251565128438964
actual_vs_uniform_q,24,dec_s2_post_concat,14,0.32191030689270417,0.28815078823169815,0.4954812055400327
actual_vs_uniform_q,24,dec_s2_pre_concat,14,0.16377441641102192,0.2441311238456194,0.3674200030209035
actual_vs_uniform_q,24,enc_s0_skip,14,0.4151268352861459,0.3018354522066987,0.44927792191585664
actual_vs_uniform_q,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,24,enc_s2_bottleneck,14,-0.024934658761549953,0.04602574821785897,0.30443431821897876
