contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_zwd,6,dec_s0_pre_skip,14,-0.7138762278041122,0.19975574911286234,4.7770667926309285
actual_vs_uniform_zwd,6,dec_s1_post_skip,14,-0.5082586358414899,-0.0036560824615573684,2.652615448866859
actual_vs_uniform_zwd,6,dec_s1_pre_skip,14,-1.5608439598008286,-0.07322715659016821,5.22479140841448
actual_vs_uniform_zwd,6,dec_s2_post_concat,14,0.6204403454439669,0.3561601886954435,1.2504280124606937
actual_vs_uniform_zwd,6,dec_s2_pre_concat,14,-0.5082586358414899,-0.0036560824615573684,2.652615448866859
actual_vs_uniform_zwd,6,enc_s0_skip,14,1.7708587029764051,-0.019766655913482957,5.428102691195667
actual_vs_uniform_zwd,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,6,enc_s2_bottleneck,14,-0.7138762278041122,0.19975574911286234,4.7770667926309285
actual_vs_uniform_zwd,12,dec_s0_pre_skip,14,1.8289945665644567,1.5399162330244955,3.0017122780120733
actual_vs_uniform_zwd,12,dec_s1_post_skip,14,2.8165606292338956,1.3216772562606507,3.7590157013370744
actual_vs_uniform_zwd,12,dec_s1_pre_skip,14,2.5514389561222806,1.9713122486885206,3.3416843665524447
actual_vs_uniform_zwd,12,dec_s2_post_concat,14,1.5161849468013158,1.0297205084966294,3.685414553033815
actual_vs_uniform_zwd,12,dec_s2_pre_concat,14,2.8165606292338956,1.3216772562606507,3.7590157013370744
actual_vs_uniform_zwd,12,enc_s0_skip,14,-0.9748724064011564,-0.3651434955817129,2.341967595967417
actual_vs_uniform_zwd,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,12,enc_s2_bottleneck,14,1.8289945665644567,1.5399162330244955,3.0017122780120733
actual_vs_uniform_zwd,24,dec_s0_pre_skip,14,0.18032468980603503,0.15607529480654034,0.3982288093547869
actual_vs_uniform_zwd,24,dec_s1_post_skip,14,0.30534531624535927,0.09218114452892248,0.8341978352510695
actual_vs_uniform_zwd,24,dec_s1_pre_skip,14,0.1315410784289519,0.005375755002533797,0.7266718486820749
actual_vs_uniform_zwd,24,dec_s2_post_concat,14,1.2471042838024833,0.507056483370151,1.6798763904823728
actual_vs_uniform_zwd,24,dec_s2_pre_concat,14,0.30534531624535927,0.09218114452892248,0.8341978352510695
actual_vs_uniform_zwd,24,enc_s0_skip,14,1.204907118603765,1.0855029768130664,1.2414236931815188
actual_vs_uniform_zwd,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,24,enc_s2_bottleneck,14,0.18032468980603503,0.15607529480654034,0.3982288093547869
